
---------- Begin Simulation Statistics ----------
system.cpu0.vecAluAccesses                    1334064                       # Number of vector alu accesses (Count)
system.cpu0.numRecvResp                       1101500                       # Number of received responses (Count)
system.cpu0.numRecvRespBytes                 10984859                       # Number of received response bytes (Byte)
system.cpu0.recvRespAvgBW                        8.11                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu0.recvRespAvgSize                      9.97                       # Average packet size per received response ((Byte/Count))
system.cpu0.recvRespAvgRate                      0.81                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu0.recvRespAvgRetryRate                 0.00                       # Average retry rate per received response ((Count/Count))
system.cpu0.numSendRetryResp                        0                       # Number of retry responses sent (Count)
system.cpu0.numSquashedInsts                    12052                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.timesIdled                           1778                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         286635                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.MemDepUnit__0.insertedLoads        575722                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores       563313                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads        13069                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores        17355                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.bac.fetchTargets                        0                       # Number of fetch targets created  (Count)
system.cpu0.bac.branches                       246549                       # Number of branches that BAC encountered (Count)
system.cpu0.bac.predTakenBranches              145653                       # Number of branches that BAC predicted taken. (Count)
system.cpu0.bac.branchesNotLastuOp                  0                       # Number of branches that fetch encountered which are not the last uOp within a macrooperation. Jump to itself. (Count)
system.cpu0.bac.branchMisspredict                5920                       # Number of mispredicted branches (Count)
system.cpu0.bac.noBranchMisspredict               207                       # Number of non-branch instructions mispredicted (Count)
system.cpu0.bac.squashBranchDecode               1471                       # Number of branches squashed from decode (Count)
system.cpu0.bac.squashBranchCommit               4449                       # Number of branches squashed from commit (Count)
system.cpu0.bac.preDecUpdate::NoBranch              0                       # Number of branches extracted from the predecoder (Count)
system.cpu0.bac.preDecUpdate::Return                0                       # Number of branches extracted from the predecoder (Count)
system.cpu0.bac.preDecUpdate::CallDirect            0                       # Number of branches extracted from the predecoder (Count)
